property_name	address	area	city	province	state	country	latitude	longitude	property_type	hotel_brand	hotel_star_rating	hotel_facilities	number_of_hotel_facilities	room_type	room_count	room_facilities	number_of_room_facilities	point_of_interest	number_of_POIs	image_count	positive_reviews_count	critical_reviews_count	guest_recommendation	site_review_count	site_review_rating	site_stay_service_quality_review_rating	site_stay_amenities_review_rating	site_stay_food_review_rating	site_stay_value_review_rating	site_stay_location_review_rating	site_stay_cleanliness_review_rating	uniq_id
The Serenity Resort &amp; Spa	Near Shaminala, Village Jagatsukh, Naggar Highway,	Others	Manali	Manali	Himachal Pradesh	India	32.20768834	77.20041947	Resort	null	4	Concierge|Doctor on Call|Dry Cleaning|Laundry Service Available|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Medical Assistance Available|Welcome Drinks|Power Backup|Dance Performances (on demand)|Wake-up Call / Service|Fax Machine|Multi - Line Phone|Wheelchair Accessibility - Room|Massage Services | Bike on Rent|Extra Person / Child - Share the same room|Village Visit ( Chargeable )|Taxi Services| Drivers Rest Room|Newspapers In Lobby|Family Room|Room Service (24 Hours)|Spa Services Nearby|STD / ISD|Baggage Room|Courier Service|Guide / Sightseeing Service|Adjoining Rooms|RO Water Purification System|Parking Facility|Internet Access |Public Restrooms|Suites	41	Deluxe	41	Hairdryer (on request)|Heating Facility (on request) |Iron / Ironing board available|Internet Connection In Room|Newspapers|Shower Caps Available|Mineral Water| Hot / Cold Running Water|Housekeeping|Desk in Room|Extra Bed, Towels, Linens, Bedding (on request)|Slippers|Primium Bathrooms|Premium Amenities / Toiletries|Shaving Kit /Dental Kit|Coffee Table|HD / LCD Satellite TV |Sofa Table / Extra Seats |Pillow menu|International Switch Plugs (on request)|Mirror|Work Station|Luggage Rack|Closet|Bedside Table|Complete Bedding|Curtains/Shades|Daily Room Cleaning|Do-Not-Disturb Notice|Dustbins|Ice Bucket on Demand|In-room Storage Space|Room Door Fitted with Lock and Key|Sufficient Lighting|Breakfast chargeable	35	Others|Himalayan Nyingmapa Gompa	2	68	68	9	80	77	4.4	4.3	4.3	4.8	4.4	4.3	4.8	4657d8a53979f581ae9f0e6dfcddeddb
The Shivalik	The Mall,Near State Bank of India,Manali,175131.		Manali	Manali	Himachal Pradesh	India	32.2415294	77.1888121	Hotel	null	3	Business Center |Laundry Service Available|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Gardens|Internet Access Free|Room Service (24 Hours)|Outdoor Parking - Secured|Parking Facility|Room Service|Speciality Restaurant	12	Deluxe Room	50	Room Service |Basic Bathroom Amenities|Mineral Water|Housekeeping|Extra Bed, Towels, Linens, Bedding (on request)|Toiletries|Attached Bathroom	7	Tibetan Monasteries|Himalaya Nyinmapa Buddhist Temple|Chandrakhani Pass|Van Vihar|Von Ngari Gompa|Guru Gobind Singh Ji Gurudwara|Lady Willingdon Hospital|Civil Hospital|Siyali Mahadev Temple|Manali 1st Super Market	10	10	0	0	0	0	0	0	0	0	0	0	0	32b4a67ee946b41f91fe338a31318c56
The Snow Oak	bahnu pul. Nh21. Kullu manali highway. distt Kullu. ( HP)	Others	Manali	Manali	Himachal Pradesh	India	32.21249506	77.18978738	Hotel	null	3	Doctor on Call|Internet Access - Surcharge|Parking Facilities Available|Pets Allowed|Local Tour / Travel Desk|Luggage Storage|Gardens|Suitable For Children|Separate Sitting Area|Smoking Rooms|Kitchen available (home cook food on request)|Picnic Area|Jacuzzi|Nature Walk|Veranda| Bike on Rent|Village Visit ( Chargeable )|Car Rental|Taxi Services| Drivers Rest Room|Internet Access Free|Children's Park|Room Service (24 Hours)|Baggage Room|Adjoining Rooms|RO Water Purification System|Outdoor Parking - Secured|Parking Facility|Internet Access|Room Service|Trekking|Recreation Zone|Anti-Slip Ramps|First-Aid Kit at Front Desk|Suites	35	Super Deluxe Room	5	Room Service |Air Conditioning |Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Mineral Water|Housekeeping|Makeup / Shaving Mirror|Primium Bathrooms|Mirror|Attached Bathroom|Do-Not-Disturb Notice|Dustbins|Room Door Fitted with Lock and Key|Room with Window/Ventilation|Rooms with Attached Bathrooms|Sanitary Bin	16	Hadimba Temple|Himalayan Nyingmapa Gompa|Vashist Hot Water Springs and Temples|Tibetan Monasteries|Van Vihar|Manali 1st Super Market|Manu Temple|Lady Willingdon Hospital|Chandrakhani Pass|Gadham Thekchhokling Gompa|Manali Bus Stand|Civil Hospital|Others|Nehru Kund|Beas Kund|Club House	16	9	0	1	0	1	2	1	2	2	2	2	2	6b414582f4ce48287ab0917d68068061
The Sunshine Heritage (since1944)	sunshine orchards,clubhouse road manali	Others	Manali	Manali	Himachal Pradesh	India	32.25154681	77.18226915	BnB	null	0	Airport Transfer Available / Surcharge|Babysitting/ Child Care (surcharge)|Barbecue Area|Beauty Salon - on charge|Business Center |Concierge|Currency Exchange|Doctor on Call|Dry Cleaning|Games Zone|Gift Shop |Internet Access - Surcharge|Laundry Service Available|Library|Parking Facilities Available|Pets Allowed|Front Desk|Multi Cuisine Restaurant |Local Tour / Travel Desk|Hookah Lounge|Luggage Storage|Medical Assistance Available|Welcome Drinks|Gardens|Wedding Services Facility|Dance Performances (on demand)|Translation Services|Multi Lingual Staff|Wake-up Call / Service|Porter / Bellhop|Suitable For Children|Separate Sitting Area|Grocery|Conference Facility |Smoking Rooms|Access Via Exterior Corridors|Kitchen available (home cook food on request)|Multi - Line Phone|Fire Place Available |Picnic Area|Cell Phone Rental|Massage Services |Safari|Pick Up and Drop (Rly Station, Bus Stand, Temple)|Skiing Facility Available|Nature Walk|Smoking Area |Veranda|Transfers Available| Bike on Rent|Veg / Non Veg Kitchens Separate |Shopping Drop Facility (on fixed timings)|In House Events |Vegetarian Food / Jain Food Available|Extra Person / Child - Share the same room|Village Visit ( Chargeable )|Car Rental|Express Laundry|Kids Play Zone|Meditation Room|Self Check - In|Taxi Services|Badminttion Court|Campfire / Bon Fire|Food Facility| Drivers Rest Room|Internet Access Free|Newspapers In Lobby|Children's Park|Family Room| Cook Services|Air / Rail Booking|STD / ISD|Baggage Room|Ski Storage|Guide / Sightseeing Service|Adjoining Rooms|Outdoor Parking - Secured|Parking Facility|Internet Access|Room Service|Fishing|Trekking|Fire Safety|Recreation Zone|Anti-Slip Ramps|CCTV|Fire Exit Signs|First-Aid Kit at Front Desk|Pest Control Facility|Speciality Restaurant |Suites	92	Double Bed Room	12	Room Service |Balcony / Terrace|Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Video/ DVD/ CD Player Available|Ensuite / Private Bathroom|Hairdryer (on request)|Heating Facility (on request) |Internet Connection In Room|Telephone|Premium Beddings / Hypo-Allergenic | Hot / Cold Running Water|Housekeeping|Extra Bed, Towels, Linens, Bedding (on request)|Toiletries|Window Opens|Makeup / Shaving Mirror|Slippers|Premium Amenities / Toiletries|Handheld Showers|Patio - Property|Hill View from all Rooms|Coffee Table|Wardrobe|Sofa Table / Extra Seats |Private Garden|TV|Rollaway Beds|Mirror|Luxurious Feather Mattresses|Custom Duvets / Linen|Dressing Area|Luggage Rack|Attached Bathroom|Closet|Bedside Table|Clothes Hook in Bathroom|Complete Bedding|Curtains/Shades|Daily Room Cleaning|Do-Not-Disturb Notice|Dustbins|Extra Toilteries on Demand|In-room Storage Space|Modern Toilet Facilities|Room Door Fitted with Lock and Key|Room with Window/Ventilation|Rooms with Attached Bathrooms|Sanitary Bin|Sufficient Lighting|Western Toilet Seat	51	Hadimba Temple|Vashist Hot Water Springs and Temples|Circuit House|Manu Temple|Others|Nehru Kund|Club House|Ghatotkach Tree Temple	8	14	5	1	50	6	3.9	3.8	3.6	4.5	3.6	4.6	4.2	a0cfe38a5d3c765c6be6a985cdbaf83a
The Tranquil Inn	Gohsal Shenag, panchal road, tourism club house, old manali, teh. manali ser, manali , kullu, HP	Old Manali	Manali	Manali	Himachal Pradesh	India	32.2415294	77.1888121	Hotel	null	0	Doctor on Call|Laundry Service Available|Lobby|Parking Facilities Available|Front Desk|Local Tour / Travel Desk|Major Credit Cards Accepted|Luggage Storage|Welcome Drinks|Multi - Line Phone|Pick Up and Drop (Rly Station, Bus Stand, Temple)|Transfers Available|Village Visit ( Chargeable )|Taxi Services| Drivers Rest Room|Internet Access Free|Family Room|Adjoining Rooms|RO Water Purification System|Outdoor Parking - Secured|Parking Facility|Room Service|First-Aid Kit at Front Desk|Porter Services Available|Public Restrooms|Suites	26	Premium Lanai Double Room	24	Room Service |Housekeeping|Mirror|Daily Room Cleaning|Dustbins	5	Tibetan Monasteries|Himalaya Nyinmapa Buddhist Temple|Chandrakhani Pass|Van Vihar|Von Ngari Gompa|Guru Gobind Singh Ji Gurudwara|Lady Willingdon Hospital|Civil Hospital|Old Manali|Siyali Mahadev Temple|Manali 1st Super Market	11	8	0	0	0	0	0	0	0	0	0	0	0	1de5bef3da749e6c48761fac2db507fa
Thomas Villa, Hotel and Cottages	Kanyal Road, Manali, Himachal Pradesh (H.P.)	Kanyal Road	Manali	Manali	Himachal Pradesh	India	32.2220228	77.1892351	Resort	null	4	Airport Transfer Available / Surcharge|Babysitting/ Child Care (surcharge)|Barbecue Area|Currency Exchange|Disabled Friendly Facilities |Doctor on Call|Dry Cleaning|Games Zone|Laundry Service Available|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Medical Assistance Available|Welcome Drinks|Power Backup|Express Check-In / Check-Out|Gardens|Computer Rental|Translation Services|Multi Lingual Staff|Wake-up Call / Service|Suitable For Children|Conference Facility |Kitchen available (home cook food on request)|Floor Butler|Picnic Area|Cell Phone Rental|Massage Services |Pick Up and Drop (Rly Station, Bus Stand, Temple)|Skiing Facility Available|Nature Walk|Transfers Available| Bike on Rent|In House Events |Vegetarian Food / Jain Food Available|Car Rental|City Shuttle Service|Campfire / Bon Fire|Food Facility| Drivers Rest Room|Internet Access Free|Newspapers In Lobby|Children's Park|Postal / Parcel Services|Room Service (24 Hours)|Spa Services Nearby| Cook Services|Party hall|Air / Rail Booking|Baggage Room|Courier Service|Guide / Sightseeing Service|Parking Facility|Internet Access|Restaurant|Room Service|Fire Safety|CCTV|First-Aid Kit at Front Desk|Paid Transfers|Stamps and Mailing Facility	67	Deluxe Room with Complimentry Breakfast	18	Air Conditioning |Tea Coffee Kettle / Maker| Hot / Cold Running Water|Housekeeping|Makeup / Shaving Mirror|Safe - In - Room |Pay Movies|HD / LCD Satellite TV |Channel Music|Dressing Area|Luggage Rack	11	Tibetan Monasteries|Kanyal Road|Van Vihar|Lady Willingdon Hospital|Chandrakhani Pass|Manali Bus Stand|Civil Hospital|Manali 1st Super Market	8	24	156	17	84	173	4.4	4.5	4.4	4.5	4.4	4.2	4.5	24f9e681247025a4067ef216ca306a08
Thunderworld Club	Near Hadimba Temple Manali	Old Manali	Manali	Manali	Himachal Pradesh	India	32.2396325	77.1887145	Farm Stay	null	0	Swimming Pool|Barbecue Area|Currency Exchange|Doctor on Call|Games Zone|Health Club / Gym Facility Available|Internet Access - Surcharge|Laundry Service Available|Non Smoking Rooms|Parking Facilities Available|Pets Allowed|Front Desk|Multi Cuisine Restaurant |Local Tour / Travel Desk|Doorman|Medical Assistance Available|Power Backup|Gardens|Computer Rental|Dance Performances (on demand)|Multi Lingual Staff|Wake-up Call / Service|Fitness Equipment|Suitable For Children|Separate Sitting Area|Kitchen available (home cook food on request)|Floor Butler|Picnic Area|Massage Services |Safari|Skiing Facility Available|Smoking Area | Bike on Rent|Veg / Non Veg Kitchens Separate |In House Events |Vegetarian Food / Jain Food Available|Extra Person / Child - Share the same room|Car Rental|Kids Play Zone|Taxi Services|Badminttion Court|Campfire / Bon Fire|Food Facility| Drivers Rest Room|Yoga Hall / Classes|Postal / Parcel Services|Family Room| Cook Services|Air / Rail Booking|Baggage Room|Courier Service|Guide / Sightseeing Service|Laptop Available on Hire|Outdoor Parking - Secured|Parking Facility|Room Service|Porter Services Available	57	Alpine Tent	14	Room Service |Basic Bathroom Amenities|Breakfast Available (surcharge)| Hot / Cold Running Water|Housekeeping|TV|Attached Bathroom	7	Civil Hospital|Von Ngari Gompa|Chandrakhani Pass|Aleo Bus Stop|Old Manali	5	10	0	2	0	2	1.3	1	1	1.3	1	1	1.3	a95c1ddf6471df43eb6866a89a65de5a
TLH Forest Way Cottage	Hadimba Temple Road, Village Dhungri	Hadimba Road	Manali	Manali	Himachal Pradesh	India	32.24719362	77.17601128	BnB	null	0	Barbecue Area|Doctor on Call|Locker Facility|Power Backup|Gardens|Suitable For Children|Kitchen available (home cook food on request)|Veranda|Campfire / Bon Fire|Food Facility|Internet Access Free| Cook Services|Outdoor Parking - Secured|Parking Facility|Internet Access|Room Service|Full Time Operation for All 7 Days	17	Comfort Double Room - LF	5	Room Service |Balcony / Terrace|Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Heating Facility (on request) |Telephone| Hot / Cold Running Water	7	Hadimba Temple|Vashist Hot Water Springs and Temples|Hadimba Road|Manu Temple|Club House|Ghatotkach Tree Temple	6	44	0	0	0	0	0	0	0	0	0	0	0	ee4a2b19f7eb0c97fd6ec7e46d6e32d0
Tourist Hotel	Circuit House Road, Dist. Kullu, Manali	Old Manali	Manali	Manali	Himachal Pradesh	India	32.25514	77.1838917	Hotel	null	2	Internet Access - Surcharge|Laundry Service Available|Parking Facilities Available|Multi Cuisine Restaurant |Local Tour / Travel Desk|Power Backup|Gardens|Room Service	8	Deluxe Room	12	Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ensuite / Private Bathroom|Heating Facility (on request) |Telephone| Hot / Cold Running Water	6	Rohtang Pass|Airport|Kothi|Manu Temple|Club House|Bus Stand|Manikaran|The Mall|Rahalla Falls|Gulaba Camp|Old Manali|Arjun Gufa (Caves)|Jagatsukh Temple|Vashisth Village|Solang Nullah|Hidimba Devi Temple|Hadimba Temple|Guru Gobind Singh Ji Gurudwara|Vashist Hot Water Springs and Temples|Lady Willingdon Hospital|Siyali Mahadev Temple|Circuit House|Ghatotkach Tree Temple	23	18	96	8	82	104	4.2	4.2	3.9	4.2	4.2	4	4.3	a37c0cc49fc0fc48ca9e2c113d81d7e6
Tree Hill Cottages and Kanyal Villa	Kanyal Road, Gadherni, Manali	Village Simsa	Manali	Manali	Himachal Pradesh	India	32.2183135	77.1856541	Cottage	null	3	Airport Transfer Available / Surcharge|Barbecue Area|Doctor on Call|Laundry Service Available|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Local Tour / Travel Desk|24 Hour Front Desk|Luggage Storage|Medical Assistance Available|Power Backup|Gardens|Conference Facility |Smoking Rooms|Kitchen available (home cook food on request)|Fire Place Available |Smoking Area | Bike on Rent|Veg / Non Veg Kitchens Separate |Extra Person / Child - Share the same room|Car Rental|Taxi Services|Campfire / Bon Fire|Food Facility|Internet Access Free|Newspapers In Lobby|Family Room|Room Service (24 Hours)| Cook Services|Air / Rail Booking|Courier Service|Guide / Sightseeing Service|Outdoor Parking - Secured|Parking Facility|Internet Access|Room Service	39	Super Deluxe Room	32	Room Service |Basic Bathroom Amenities|Ceiling Fan|Heating Facility (on request) |Internet Connection In Room|Breakfast Available (surcharge)|Housekeeping|Extra Bed, Towels, Linens, Bedding (on request)|Toiletries|Window Opens|Makeup / Shaving Mirror|Separate Bathtubs And Shower|Hill View from all Rooms|Wardrobe|TV|Mirror	16	Solang Valley|Rohtang Pass|Club House|Rahala Water Falls|Jagatsuhk|Village Simsa|Himalayan Nyingmapa Gompa|Gadham Thekchhokling Gompa|Prini Bus Stop	9	86	599	43	87	642	4.4	4.3	4.3	4.4	4.5	4.3	4.5	7389b968f41d1a922603134cf88c03df
Treebo Woodstock Inn	Left Bank Aleo, Naggar Highway, Manali, Himachal Pradesh 175131	Aleo, left bank	Manali	Manali	Himachal Pradesh	India	32.2417979	77.1919516	Hotel	Treebo Hotels	3	Laundry Service Available|Lobby|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |24 Hour Front Desk|Power Backup|Multi Lingual Staff|Wake-up Call / Service|Smoking Rooms|Smoking Area |Veg / Non Veg Kitchens Separate |Taxi Services|Food Facility|Newspapers In Lobby|Outdoor Parking - Secured|Parking Facility|Restaurant|Room Service|CCTV|Public Restrooms|Security at All Hotel Entrances	22	Single Room	36	Room Service |Air Conditioning |Ceiling Fan|Shower Facility Available|Reading Lamps| Hot / Cold Running Water|Housekeeping|Breakfast Available|Toiletries|Wardrobe|TV|Attached Bathroom|Bedside Table|Daily Room Cleaning|Western Toilet Seat	15	Chandrakhani Pass|Guru Gobind Singh Ji Gurudwara|Lady Willingdon Hospital|Aleo Bus Stop|Civil Hospital|Aleo, Left Bank	6	29	72	12	78	84	4.2	4.3	4.1	4.5	4.2	4.1	4.7	e8a269780907ff01083a9d3960eed267
Vasuki BnB Inn	Near Hotel Shandela,old tehsil road, Behind the mall road (landmark: SDM Residence)	Mall Road	Manali	Manali	Himachal Pradesh	India	32.24649517	77.1885346	BnB	null	2	Doctor on Call|Laundry Service Available|Parking Facilities Available|Front Desk|Internet Access Free|Parking Facility|Room Service	7	Luxury Room	12	Room Service |Ceiling Fan| Hot / Cold Running Water|Housekeeping|Desk in Room|Breakfast Available|Toiletries|TV|Mirror|Attached Bathroom	10	Hadimba Temple|Vashist Hot Water Springs and Temples|Manu Temple|Guru Gobind Singh Ji Gurudwara|Lady Willingdon Hospital|Mall Road|Siyali Mahadev Temple|Circuit House|Club House|Ghatotkach Tree Temple	10	13	16	9	72	25	3.3	3.3	3.2	2.6	3.7	3.5	3.2	50043e86279ec94bb6fb66c815ad5847
Victoriya Palace	NH-21, Rangri, Manali, Distt-Kullu, HP	Aleo, Left Bank	Manali	Manali	Himachal Pradesh	India	32.22150849	77.19124651	Hotel	null	2	Doctor on Call|Laundry Service Available|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Power Backup|Kitchen available (home cook food on request)|Campfire / Bon Fire|Family Room|Outdoor Parking - Secured	10	Deluxe Room	17	Room Service |Balcony / Terrace|Cable / Satellite / Pay TV available|Ceiling Fan|Full Kitchen|Shoe Shine| Hot / Cold Running Water|Housekeeping|Desk in Room|Toiletries|Hill View from all Rooms|TV|Mirror|Gas Cylinder - Chargeable|Luggage Rack|Attached Bathroom	16	Himalayan Nyingmapa Gompa|Aleo, Left Bank|Prini Bus Stop	3	11	0	0	0	0	0	0	0	0	0	0	0	23a2718258aaac25a1dced408ba64b28
Village Classic Cottage	Village Classic cottage,Simsa manali 3 Km from mall road . 2 km from Volvo stand	Village Simsa	Manali	Manali	Himachal Pradesh	India	32.2421949	77.1919957	Cottage	null	0	Airport Transfer Available / Surcharge|Doctor on Call|Laundry Service Available|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Local Tour / Travel Desk|24 Hour Front Desk|Luggage Storage|Welcome Drinks|Wake-up Call / Service|Suitable For Children|Kitchen available (home cook food on request)|Nature Walk| Bike on Rent|Horse Ride ( Chargeable ) |Vegetarian Food / Jain Food Available|Village Visit ( Chargeable )|Car Rental|Taxi Services|Food Facility| Drivers Rest Room|Newspapers In Lobby|Room Service (24 Hours)| Cook Services|Guide / Sightseeing Service|Outdoor Parking - Secured|Parking Facility	28	Deluxe Room	15	Room Service |Balcony / Terrace|Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Kitchenette|Telephone|Attached Bathroom	7	Guru Gobind Singh Ji Gurudwara|Lady Willingdon Hospital|Village Simsa	3	46	52	15	61	67	3.8	3.7	3.5	4.2	3.8	3.6	4.3	4861eda2f5aa17da67a7767989806479
Village Heart Cottage	Kanyal Road Village Simsa Manali - 175131, Himachal Pradesh, India	KANYAL ROAD	Manali	Manali	Himachal Pradesh	India	32.222579	77.1845794	Hotel	null	2	Internet Access - Surcharge|Laundry Service Available|Parking Facilities Available|Front Desk|Gardens|Outdoor Parking - Secured|Parking Facility|Room Service|Public Restrooms	9	Deluxe room	16	Room Service |Alarm Clock|Basic Bathroom Amenities|Attached Bathroom	4	Prini Bus Stop|Kanyal Road|Gadham Thekchhokling Gompa|Himalayan Nyingmapa Gompa	4	3	4	2	66	6	3.3	3.3	3.1	4.8	3.3	3.3	4.8	4695f8c5f27c5d17415489c908a36b52
Village View	KANAYAL ROAD  TEHSIL MANALI PO CHHIIYAL DISTRICT KULLU  HIMACHAL PRADESH	Kanyal Road	Manali	Manali	Himachal Pradesh	India	32.2206323	77.1888594	Homestay	null	0	Laundry Service Available|Parking Facilities Available|Front Desk|Power Backup|Gardens|Internet Access Free|Room Service (24 Hours)|Parking Facility|Room Service	9	Standard Room	15	Room Service |Balcony / Terrace|Cable / Satellite / Pay TV available|Crockery / Cutlery|Ensuite / Private Bathroom|Hairdryer (on request)|Iron / Ironing board available|Full Kitchen|Internet Connection In Room|Telephone|Shower Facility Available|Breakfast Available (surcharge)|Newspapers|Mineral Water|Breakfast Available|Window Opens|Makeup / Shaving Mirror|Slippers|Hill View from all Rooms|Wardrobe|HD / LCD Satellite TV |TV|Room Heater|Mirror|Luxurious Feather Mattresses|Utensils (on request)|Gas Cylinder - Chargeable|Luggage Rack|Attached Bathroom|Clothes Hook in Bathroom|Complete Bedding|Curtains/Shades|Daily Room Cleaning|Dustbins|Modern Toilet Facilities|Room Door Fitted with Lock and Key|Sufficient Lighting|Western Toilet Seat	38	Kanyal Road|Himalayan Nyingmapa Gompa|Gadham Thekchhokling Gompa|Prini Bus Stop	4	28	0	0	0	0	0	0	0	0	0	0	0	1d922d43692f3ce018bb32477961dd10
Whispering Valley Resort	Near Beas Bridge, Left Bank Road, Manali	Aleo, Left Bank	Manali	Manali	Himachal Pradesh	India	32.24507685	77.19190679	Resort	null	3	Bar / Lounge |Doctor on Call|Games Zone|Laundry Service Available|Multi Cuisine Restaurant |Conference Facility |Massage Services	7	Deluxe Room	31	Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Ensuite / Private Bathroom|Telephone|Safe - In - Room	5	Solang Valley|Manikaran|Rohtang Pass|Hadimba Temple|Manu Temple|Club House|Kullu|Van Vihar|Vashist Hot Water Springs and Temples|Bhunter Airport|Tourism Office|Post Office|Local Bus Stop|Manali Mall, Shopping Complex|Jagatsuhk|Aleo, Left Bank|Guru Gobind Singh Ji Gurudwara|Lady Willingdon Hospital|Circuit House	19	36	5	1	83	6	3.7	3.7	3.5	3.9	4	4.5	3.2	8a54b8ca11840b94462e6206fe0ab6b5
WHITE POD MANALI	SHAMI NALA, VILLAGE SHURU,PO JAGATSUKH, NAGAR ROAD	Aleo, left bank	Manali	Manali	Himachal Pradesh	India	32.21116975	77.19935751	Hotel	null	0	Laundry Service Available|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |24 Hour Front Desk|Medical Assistance Available|Nature Walk|Food Facility|Internet Access Free|Room Service|Public Restrooms	11	LUXURY DOUBLE BED	12	Room Service |Cable / Satellite / Pay TV available|Ceiling Fan|Internet Connection In Room|Telephone|Shower Facility Available| Hot / Cold Running Water|Housekeeping|Window Opens|Coffee Table|HD / LCD Satellite TV |Sofa Table / Extra Seats |TV|Mirror|Bedside Table|Daily Room Cleaning|Modern Toilet Facilities|Room Door Fitted with Lock and Key|Room with Window/Ventilation|Rooms with Attached Bathrooms|Sufficient Lighting|Western Toilet Seat	22	Himalayan Nyingmapa Gompa|Aleo, Left Bank|Prini Bus Stop	3	21	0	0	0	0	0	0	0	0	0	0	0	902c2888177ae8fa766790e38d1e87b5
Wood Valley Cottages	Bhutani Gompa Road, Aleo	Mall Road	Manali	Manali	Himachal Pradesh	India	32.2370641	77.1953689	Cottage	null	0	Airport Transfer Available / Surcharge|Doctor on Call|Dry Cleaning|Parking Facilities Available|Front Desk|24 Hour Front Desk|Medical Assistance Available|Welcome Drinks|Power Backup|Wake-up Call / Service|Separate Sitting Area|Newspapers In Lobby|Room Service (24 Hours)|Parking Facility	14	1 deluxe double bed room	4	Room Service |Alarm Clock|Basic Bathroom Amenities|Full Kitchen|Refrigerator|Shower Facility Available| Hot / Cold Running Water|Primium Bathrooms|TV|Mirror|Dressing Area|Attached Bathroom	12	Mall Road|Aleo Bus Stop	2	16	1	0	0	1	5	5	5	5	5	5	5	e4e5d19b78e63a08f99ba0955e68b502
Woodland Retreat	VILL. SHURU,NEAR GREEN TAX NAGAR ROAD MANALI  175131	Aleo, left bank	Manali	Manali	Himachal Pradesh	India	32.2396325	77.1887145	Cottage	null	3	Business Center |Laundry Service Available|Parking Facilities Available|Medical Assistance Available|Gardens|Multi Lingual Staff|Suitable For Children|Nature Walk|Campfire / Bon Fire|Food Facility|Internet Access Free|Outdoor Parking - Secured|Room Service|Full Time Operation for All 7 Days|Suites	15	DELUXE ROOM	11	Room Service |Balcony / Terrace|Basic Bathroom Amenities|Cable / Satellite / Pay TV available|Internet Connection In Room|Telephone|Shower Facility Available| Hot / Cold Running Water|Housekeeping|Window Opens|Coffee Table|HD / LCD Satellite TV |Sofa Table / Extra Seats |TV|Mirror|Bedside Table|Curtains/Shades|Daily Room Cleaning|In-room Storage Space|Modern Toilet Facilities|Room Door Fitted with Lock and Key|Room with Window/Ventilation|Rooms with Attached Bathrooms|Sanitary Bin|Western Toilet Seat	25	Tibetan Monasteries|Himalaya Nyinmapa Buddhist Temple|Chandrakhani Pass|Van Vihar|Von Ngari Gompa|Aleo Bus Stop|Manali Bus Stand|Civil Hospital|Aleo, Left Bank|Manali 1st Super Market	10	20	0	0	0	0	0	0	0	0	0	0	0	3310f91e1fc6034e1fd31a98d8186e54
WoodyVu Mansari Cottage	Village Mansari P.O. Haripur Tehsil, Manali	Naggar Road	Manali	Manali	Himachal Pradesh	India	32.15317577	77.18276024	Cottage	null	0	Parking Facilities Available|Parking Facility|Room Service	3	Deluxe Room	8		0	Naggar Road	1	6	0	0	0	0	0	0	0	0	0	0	0	7dbc50cbbe716bb4ae27d17ee14d295d
